#0
0.20, 0.16, 0.23, 0.22, 0.19
0.18, 0.23, 0.23, 0.18, 0.18
0.22, 0.18, 0.15, 0.23, 0.22
0.19, 0.15, 0.18, 0.21, 0.27
0.20, 0.15, 0.23, 0.24, 0.18

#1
0.27, 0.19, 0.18, 0.18, 0.18
0.18, 0.12, 0.22, 0.16, 0.32
0.21, 0.15, 0.21, 0.21, 0.22
0.23, 0.23, 0.17, 0.20, 0.17
0.14, 0.18, 0.21, 0.18, 0.29

#2
0.15, 0.12, 0.20, 0.29, 0.24
0.15, 0.26, 0.20, 0.17, 0.22
0.19, 0.32, 0.19, 0.16, 0.14
0.20, 0.12, 0.20, 0.23, 0.25
0.13, 0.24, 0.20, 0.23, 0.20

#3
0.21, 0.19, 0.24, 0.20, 0.16
0.17, 0.14, 0.19, 0.21, 0.29
0.17, 0.25, 0.19, 0.21, 0.18
0.21, 0.19, 0.18, 0.20, 0.22
0.15, 0.25, 0.24, 0.17, 0.19

#4
0.22, 0.21, 0.19, 0.13, 0.25
0.23, 0.15, 0.15, 0.25, 0.22
0.22, 0.20, 0.17, 0.22, 0.19
0.29, 0.19, 0.19, 0.17, 0.16
0.19, 0.13, 0.30, 0.22, 0.16

#5
0.22, 0.26, 0.22, 0.13, 0.17
0.21, 0.21, 0.13, 0.19, 0.26
0.23, 0.18, 0.11, 0.26, 0.22
0.22, 0.14, 0.16, 0.24, 0.24
0.29, 0.17, 0.16, 0.17, 0.21

#6
0.17, 0.17, 0.18, 0.18, 0.30
0.17, 0.30, 0.13, 0.24, 0.16
0.23, 0.11, 0.24, 0.21, 0.21
0.18, 0.17, 0.27, 0.17, 0.21
0.24, 0.19, 0.20, 0.20, 0.17

#7
0.21, 0.17, 0.25, 0.19, 0.18
0.18, 0.27, 0.21, 0.16, 0.18
0.19, 0.21, 0.21, 0.18, 0.21
0.18, 0.23, 0.20, 0.15, 0.24
0.28, 0.19, 0.17, 0.20, 0.16

#8
0.24, 0.16, 0.17, 0.21, 0.22
0.21, 0.19, 0.17, 0.18, 0.25
0.17, 0.16, 0.20, 0.25, 0.22
0.22, 0.16, 0.20, 0.24, 0.18
0.14, 0.17, 0.26, 0.22, 0.21

#9
0.15, 0.27, 0.21, 0.17, 0.20
0.22, 0.22, 0.16, 0.25, 0.15
0.10, 0.16, 0.22, 0.21, 0.31
0.25, 0.20, 0.15, 0.17, 0.23
0.23, 0.16, 0.15, 0.22, 0.24

#10
0.16, 0.21, 0.20, 0.16, 0.27
0.19, 0.14, 0.14, 0.25, 0.28
0.23, 0.19, 0.19, 0.12, 0.27
0.22, 0.20, 0.19, 0.22, 0.17
0.26, 0.12, 0.15, 0.20, 0.27

#11
0.22, 0.18, 0.22, 0.16, 0.22
0.13, 0.21, 0.20, 0.25, 0.21
0.26, 0.19, 0.18, 0.23, 0.14
0.17, 0.20, 0.24, 0.15, 0.24
0.22, 0.21, 0.20, 0.18, 0.19

#12
0.23, 0.17, 0.21, 0.18, 0.21
0.29, 0.16, 0.22, 0.18, 0.15
0.27, 0.20, 0.12, 0.18, 0.23
0.19, 0.20, 0.15, 0.21, 0.25
0.18, 0.23, 0.26, 0.11, 0.22

#13
0.24, 0.15, 0.26, 0.15, 0.20
0.21, 0.14, 0.18, 0.26, 0.21
0.22, 0.20, 0.22, 0.15, 0.21
0.20, 0.18, 0.27, 0.21, 0.14
0.18, 0.19, 0.19, 0.19, 0.25

#14
0.26, 0.18, 0.17, 0.20, 0.19
0.16, 0.19, 0.27, 0.25, 0.13
0.20, 0.17, 0.26, 0.23, 0.14
0.23, 0.11, 0.20, 0.22, 0.24
0.22, 0.21, 0.19, 0.22, 0.16

#15
0.20, 0.24, 0.24, 0.14, 0.18
0.18, 0.18, 0.16, 0.15, 0.33
0.28, 0.17, 0.20, 0.15, 0.20
0.31, 0.19, 0.14, 0.22, 0.14
0.26, 0.23, 0.20, 0.14, 0.17

#16
0.14, 0.23, 0.24, 0.22, 0.17
0.11, 0.25, 0.26, 0.22, 0.16
0.18, 0.23, 0.19, 0.28, 0.12
